nm,E891,ISO9050,ASTM_G173_global,ASTM_G173_direct
845,0.005309176892274149,0.004822551775099215,0.0051113154746262445,0.005273265826527081
850,0.005334611261757451,0.004826320253461854,0.004493934939481523,0.004639417326630602
855,0.005360045631240753,0.0047468520491226185,0.004590881483850233,0.004742726909078854
860,0.005385480000724054,0.004667383844783383,0.00496881209976062,0.005135482407248861
865,0.00532450357726149,0.004587915640444145,0.0048435056741554195,0.0050080523318237966
870,0.005263593217096283,0.00450844743610491,0.004865177852901745,0.005033012285113026
875,0.0052026828569310775,0.004428979231765674,0.004660624666961956,0.004824322451445892
880,0.005141706433468512,0.004349511027426438,0.0047244846832214275,0.004893158197064175
885,0.0049462911998799245,0.004270042823087201,0.004747916783675691,0.004919964963040724
890,0.004750875966291335,0.004190574618747965,0.004645841324615274,0.0048172709848215796
895,0.0045554607327027465,0.004111106414408729,0.004090912868363674,0.004250803166001858
900,0.004360045499114158,0.004031638210069493,0.0037340510294711755,0.0038855260020583355
905,0.004164630265525569,0.003842417242089137,0.004108612652397795,0.004272125457937277
910,0.003949263916134494,0.00365319627410878,0.003141057980850739,0.0032768613115343984
915,0.00373389756674342,0.0034639753061284227,0.0034110299708484597,0.0035565135236112753
920,0.003803924661944198,0.0032747543381480664,0.0037417946849861035,0.003898285798807091
925,0.003873951757144977,0.0030855333701677095,0.0035756580757567366,0.0037283790315736707
930,0.0022996633810746362,0.0028963124021873527,0.0021727490571431386,0.0022765604032570115
935,0.0017150031994454915,0.0027070914342069968,0.001261310746340627,0.0013257876534122914
940,0.0015661625904951565,0.00251787046622664,0.0023724247457780705,0.0024854181289866305
945,0.001707934426628054,0.002328649498246283,0.0018514879202283616,0.001943574479331172
950,0.001932681764244139,0.0021394285302659267,0.0007404744877456575,0.0007803623064238493
955,0.002282090543977082,0.0022866292970345507,0.0017155213974207927,0.0018022653267407947
960,0.002631433260412666,0.0024338300638031747,0.002115224759032244,0.0022209321665541066
965,0.00298077597684825,0.002581030830571798,0.0025329798890194044,0.0026565561046782635
970,0.003197661782078587,0.0027282315973404226,0.0031910397573561844,0.0033404364391948615
975,0.003414613650606283,0.0028754323641090465,0.002966071479604312,0.003108017860696708
980,0.0036314994558366205,0.003022633130877671,0.003040541309588783,0.0031866473099598685
985,0.0038282359553723933,0.0031698338976462945,0.003460358062148099,0.0036227749242714767
990,0.004024972454908167,0.003317034664414919,0.003682108197348313,0.003852731085853203
995,0.00415260674540619,0.0034642354311835433,0.0037801106947417864,0.003955145243968209
1000,0.004119046590347703,0.0036114361979521672,0.0036974446579460603,0.0038704157164348107
1005,0.004085552498586576,0.0035915566408550926,0.0034280257861994063,0.00358953229589972
1010,0.00405199234352809,0.0035716770837580184,0.0036160859915619456,0.003788484389942806
1015,0.004018498251766962,0.0035517975266609434,0.003560925016887425,0.003731457052719204
1020,0.003984938096708477,0.003531917969563869,0.0035146139342299657,0.0036846151672862747
1025,0.003951444004947349,0.003512038412466795,0.003507423396966104,0.0036783471969535535
1030,0.003917883849888862,0.003492158855369721,0.0034723255297620793,0.003642810043727855
1035,0.003884389758127735,0.003472279298272646,0.0034310427948415854,0.0036011728122319177
1040,0.0038508296030692482,0.003452399741175572,0.003377541174920264,0.003546216143778947
1045,0.0038032640289706065,0.0034325201840784978,0.0033414376381688464,0.0035096156741575187
1050,0.003755698454871964,0.003412640626981423,0.00329170727905025,0.003458688415204155
1055,0.0037081328807733213,0.0032600772821533975,0.003260732656990537,0.0034273485635405465
1060,0.0036605673066746796,0.0031075139373253715,0.0031972749085500225,0.0033619266231927638
1065,0.003613001732576037,0.0029549505924973446,0.0031634844117576087,0.003327676642446106
1070,0.003565436158477395,0.0028023872476693186,0.0030405915930661522,0.0031999107828960737
1075,0.0033743811025145148,0.0026498239028412925,0.002979396601107273,0.003137007223485546
1080,0.003183392109848994,0.002497260558013266,0.003003029835471014,0.0031630304931705064
1085,0.002992337053886114,0.00234469721318524,0.0029833187123421067,0.0031431073017557836
1090,0.002801281997923234,0.002192133868357214,0.002794403687864282,0.0029468414807124364
1095,0.002610293005257714,0.002039570523529188,0.0026181098162062436,0.0027625519601262535
1100,0.002419237949294834,0.0018870071787011615,0.00244262048018612,0.0025806688924356683
1105,0.0019764156670959462,0.0018306500850283783,0.0025465564279092134,0.002689910661091675
1110,0.0015336594481944177,0.0017742929913555955,0.0024085282825294886,0.0025461390915848714
1115,0.001090903229292889,0.0017179358976828116,0.0012564332490357696,0.0013337905083906768
1120,0.0006480809470940011,0.0016615788040100288,0.0007134722603981484,0.0007589840504676021
1125,0.0008839269186664359,0.0016052217103372456,0.0007254900114894979,0.0007719677032996686
1130,0.0011197728902388705,0.0015488646166644624,0.0003548706131886597,0.0003781376959297666
1135,0.0008800291841222416,0.0014925075229916792,7.774831270897295e-05,8.293308246482375e-05
1140,0.0009354562906066316,0.001436150429318896,0.0012872067371860034,0.0013681524171789907
1145,0.001187619896626795,0.0013797933356461127,0.0007343399035065586,0.0007821531550903412
1150,0.001439717439349599,0.0013234362419733295,0.0006116482187245809,0.0006518689146030549
1155,0.0016918810453697625,0.0014167110838535634,0.0015746773773083669,0.0016734921148158612
1160,0.0019440446513899257,0.0015099859257337975,0.001440521059686106,0.0015317912140796889
1165,0.0021403187078441847,0.0016032607676140314,0.0019540159305851046,0.0020751458922974994
1170,0.0023227194718530055,0.0016965356094942653,0.0023066539573785515,0.002447362594823677
1175,0.002505054172564468,0.0017898104513744996,0.0022748245162035547,0.002414399786556061
1180,0.002687454936573289,0.0018830852932547335,0.0022159425642036793,0.00235339900385368
1185,0.002635264931659501,0.001976360135134967,0.002048599151517441,0.00217744812237085
1190,0.002583074926745713,0.0020696349770152013,0.002325057710095848,0.002469356455009031
1195,0.002530884921831925,0.002162909818895435,0.002247470304514458,0.002388040732746133
1200,0.002478694916918137,0.0022561846607756695,0.0022539568730951445,0.0023946444872038216
1205,0.002524344655393362,0.0022644386288708314,0.002196985693235316,0.0023344831648138592
1210,0.0025700604571659456,0.002272692596965993,0.0022796517300310423,0.0024213952891595446
1215,0.00261571019564117,0.0022809465650611544,0.002151127161874184,0.0022861862148394053
1220,0.0026614259974137543,0.0022892005331563163,0.0023032346809174144,0.0024469708466778825
1225,0.002707075735888979,0.0022974545012514782,0.002324906859663739,0.0024703078433631048
1230,0.002752791537661563,0.0023057084693466397,0.0023131908094366073,0.002458387506926768
1235,0.002798441276136788,0.0023139624374418017,0.0023383828315988084,0.0024853062009449747
1240,0.002763691981725835,0.0023222164055369636,0.0023169117867619625,0.0024630325206554814
1245,0.0027288766240175233,0.002330470373632125,0.002295692159311965,0.0024412625165534394
1250,0.002694127329606571,0.002338724341727287,0.0022982063331804478,0.0024447322858447674
1255,0.0026593780351956186,0.0022824973105820636,0.002266276325050712,0.0024113777294313553
1260,0.0026245626774873063,0.002226270279436841,0.0021677207094061724,0.0023076763988373085
1265,0.002589813383076354,0.0021700432482916173,0.0019897171995175655,0.0021194134327723463
1270,0.002554998025368042,0.0021138162171463943,0.0019481830472102236,0.0020755376404432944
1275,0.0025202487309570897,0.0020575891860011714,0.0020733386223833147,0.002208060441763696
1280,0.0024854994365461373,0.002001362154855948,0.0021221638789092577,0.002260218909175273
1285,0.002450684078837825,0.0019451351237107248,0.0021319691569963418,0.002270852073132569
1290,0.0024159347844268726,0.001888908092565502,0.0020759533632065375,0.0022118100311591636
1295,0.00225923264309079,0.0018326810614202789,0.0020371848021545273,0.002171459972142268
1300,0.0021025965650520667,0.0017764540302750557,0.0017756101528775402,0.0018946619251276118
1305,0.001945894423715984,0.0016362566303750536,0.0019299804284024055,0.0020585245781116215
1310,0.0017891922823799014,0.0014960592304750517,0.001514236637510032,0.0016178079140921283
1315,0.001632556204341178,0.0013558618305750494,0.0014371520667023384,0.0015360444796626072
1320,0.0014758540630050955,0.0012156644306750477,0.0013009341265079214,0.0013914894138642134
1325,0.0012629981189136712,0.0010754670307750456,0.0016203347747600209,0.0017316946964768482
1330,0.0010502082381196062,0.0009352696308750438,0.0011526481517447852,0.0012341185872962368
1335,0.0008373522940281819,0.0007950722309750417,0.0011624031463544997,0.0012448636792951882
1340,0.0006244963499367577,0.0006548748310750397,0.000846321207608798,0.0009075125617447749
1345,0.0004117064691426927,0.0005146774311750377,0.0005482910372388055,0.000588797463130043
1350,0.00019885052505126845,0.0003744800312750357,8.057927248488497e-05,8.667707545820839e-05
1355,0.00017777633319367554,0.0003444455922184592,1.811914823538437e-08,1.9501782337888608e-08
1360,0.00015670214133608264,0.0003144111531618827,1.076267549620267e-08,1.1587910152619209e-08
1365,0.00013562794947848974,0.0002843767141053063,4.563929539980094e-14,4.915487841374495e-14
1370,0.00011455375762089684,0.0002543422750487298,1.46827753919416e-09,1.5818790127206345e-09
1375,9.354562906066317e-05,0.00022430783599215333,1.6257653903159443e-06,1.7521775280998495e-06
1380,7.247143720307026e-05,0.00019427339693557687,4.102478068158696e-07,4.423508134276671e-07
1385,5.139724534547736e-05,0.0001642389578790004,1.0508743935485872e-08,1.1335512418685505e-08
1390,3.0323053487884458e-05,0.00013420451882242395,2.480383371690737e-06,2.677094900322092e-06
1395,9.248861630291555e-06,0.00010417007976584749,3.3758315366896957e-09,3.645328424665109e-09
1400,4.4130282635962566e-05,7.413564070927102e-05,1.6325033762834794e-11,1.7635941883487352e-11
1405,7.907776693899281e-05,0.00010466031544665104,1.8325310492599986e-09,1.980846517202535e-09
1410,0.00011395918794466382,0.00013518499018403104,2.3458750697268885e-06,2.5369609921691008e-06
1415,0.00014890667224769404,0.00016570966492141103,9.235063453712308e-07,9.991816278608295e-07
1420,0.00018378809325336507,0.00019623433965879108,4.159348681063785e-05,4.5015779433315526e-05
1425,0.0002187355775563953,0.00022675901439617107,0.00012998278900057888,0.00014070474116543617
1430,0.0002536169985620663,0.0002572836891335511,0.00030975124894486113,0.0003352916415839477
1435,0.0002884984195677373,0.000287808363870931,0.0001076870951348703,0.00011666819421986509
1440,0.00032344590387076757,0.0003183330386083111,0.00019912759873160247,0.00021572451108519878
1445,0.0003784105672736431,0.0003488577133456911,0.0002501653282618104,0.000271056138477716
1450,0.0004533924097763639,0.0003793823880830711,0.00013783706816572025,0.00014941833920833588
1455,0.0005283081889817255,0.00043842077078555536,0.00033262520280032083,0.00036045866175024176
1460,0.0006032900314844463,0.0004974591534880397,0.0004295264920393984,0.0004654023936066676
1465,0.0006411443008712825,0.0005564975361905238,0.00046956219672112407,0.0005087745097482686
1470,0.0006418709971422339,0.0006155359188930081,0.0002497982588770119,0.0002708490716006529
1475,0.0006425316301158263,0.0006745743015954923,0.000928383842676088,0.0010047780299436166
1480,0.000711964155640372,0.0007336126842979767,0.00030490392172642563,0.0003305402962156613
1485,0.0008272446095322205,0.0007926510670004609,0.0006286943175528966,0.0006809702054335484
1490,0.0009425250634240687,0.0008516894497029451,0.00087885461746697,0.0009509966059280317
1495,0.001057805517315917,0.0009107278324054295,0.0009178243124284589,0.0009930815495905914
